id,source,target
1,0,1
2,0,3
3,0,4
4,0,5
5,0,12
6,0,14
7,0,15
8,0,16
9,0,17
10,0,19
11,0,26
12,0,27
13,0,29
14,0,31
15,0,33
16,0,36
17,0,38
18,0,40
19,0,41
20,0,43
21,0,45
22,0,48
23,0,49
24,0,50
25,0,51
26,0,58
27,0,60
28,0,64
29,0,65
30,0,68
31,0,71
32,0,75
33,0,79
34,0,83
35,0,84
36,0,85
37,0,89
38,0,91
39,0,93
40,0,95
41,0,99
42,0,102
43,0,107
44,0,109
45,0,111
46,0,112
47,0,113
48,0,115
49,0,116
50,0,121
51,0,122
52,0,123
53,0,125
54,0,129
55,0,130
56,0,131
57,0,132
58,0,133
59,0,157
60,0,158
61,0,165
62,0,167
63,0,169
64,0,173
65,0,174
66,0,177
67,0,178
68,0,179
69,0,180
70,0,188
71,0,192
72,0,193
73,0,207
74,0,208
75,0,212
76,0,215
77,0,216
78,0,221
79,0,225
80,0,228
81,0,229
82,0,230
83,0,242
84,0,246
85,0,247
86,0,248
87,0,249
88,0,255
89,0,258
90,0,269
91,0,270
92,0,273
93,0,279
94,0,280
95,0,281
96,0,282
97,0,284
98,0,287
99,0,288
100,0,289
101,0,290
102,0,293
103,0,303
104,0,305
105,0,309
106,0,316
107,0,321
108,0,323
109,0,328
110,0,331
111,0,334
112,0,337
113,0,338
114,0,339
115,0,345
116,0,354
117,0,355
118,0,358
119,0,359
120,0,365
121,0,366
122,0,371
123,0,375
124,0,378
125,0,380
126,0,384
127,0,391
128,0,394
129,0,396
130,0,398
131,0,399
132,0,407
133,0,410
134,0,412
135,0,413
136,0,416
137,0,417
138,0,420
139,0,421
140,0,424
141,0,427
142,0,432
143,0,434
144,0,442
145,0,443
146,0,446
147,0,449
148,0,454
149,0,458
150,0,468
151,0,469
152,0,475
153,0,476
154,0,479
155,0,491
156,0,492
157,0,502
158,0,503
159,0,509
160,0,514
161,0,515
162,0,523
163,0,527
164,0,530
165,0,531
166,0,539
167,0,543
168,0,544
169,0,559
170,0,560
171,0,568
172,0,569
173,0,575
174,0,580
175,0,582
176,0,589
177,0,592
178,0,597
179,0,600
180,0,604
181,0,609
182,0,615
183,0,616
184,0,620
185,0,622
186,0,625
187,0,634
188,0,635
189,0,643
190,0,644
191,0,645
192,0,656
193,0,659
194,0,671
195,0,672
196,0,673
197,0,674
198,0,681
199,0,691
200,0,693
201,0,694
202,0,696
203,0,698
204,0,701
205,0,704
206,0,708
207,0,712
208,0,717
209,0,719
210,0,721
211,0,730
